symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
BOYM,2026-06-08 06:00:00+00,-26.05,73.39,1.104192,2.325024,148.8,981.3666,0,12.63
BOYM,2026-06-08 05:45:00+00,-26.14,73.2,0.902016,1.90512,57.53,981.4517,0.001,12.63
BOYM,2026-06-08 05:30:00+00,-26.02,72.19,0.104976,0.837864,340.3,981.7068,0.001,12.64
BOYM,2026-06-08 05:15:00+00,-25.83,72,0.57348,1.638792,148,981.755,0.001,12.64
BOYM,2026-06-08 05:00:00+00,-25.91,72.6,1.216944,2.325024,85.1,981.8021,0.001,12.63
BOYM,2026-06-08 04:45:00+00,-25.98,72.03,1.644624,2.437776,68.63,981.8287,0.001,12.64
BOYM,2026-06-08 04:30:00+00,-25.48,71.49,1.977048,3.199824,88.5,981.9449,0.001,12.63
BOYM,2026-06-08 04:15:00+00,-25.69,72.43,2.742984,3.924936,77.77,981.9667,0.001,12.62
BOYM,2026-06-09 23:15:00+00,-24.14,25.98,8.722728,14.24952,181.8,981.6658,0,12.53
BOYM,2026-06-09 23:00:00+00,-24.2,25.72,11.096352,15.392592,194.1,981.4139,0,12.54
BOYM,2026-06-09 22:45:00+00,-24.13,26.14,10.870848,20.43144,202.7,981.5469,0,12.53
BOYM,2026-06-09 22:30:00+00,-24.41,26.55,12.37356,18.44856,199.5,981.7936,0,12.54
BOYM,2026-06-09 22:15:00+00,-24.49,26.72,13.077288,21.07296,214,981.772,0,12.54
BOYM,2026-06-09 22:00:00+00,-24.26,26.31,11.574576,18.70128,203.8,981.5632,0,12.53
BOYM,2026-06-09 21:45:00+00,-24.45,27.22,16.89336,24.16392,225.4,981.6314,0,12.53
BOYM,2026-06-09 21:30:00+00,-24.47,26.04,12.842064,23.09472,196.7,981.5725,0.001,12.54
BOYM,2026-06-09 21:15:00+00,-24.75,26.81,16.44624,22.37544,209,981.5331,0.001,12.53
BOYM,2026-06-09 21:00:00+00,-24.89,28.35,15.7464,28.53792,219,981.5582,0.001,12.53
BOYM,2026-06-09 20:45:00+00,-25.12,30.45,15.137928,23.85288,232.9,981.8728,0,12.53
BOYM,2026-06-09 20:30:00+00,-25.22,30.32,19.65384,25.83576,225.3,982.0193,0.001,12.53
BOYM,2026-06-09 20:15:00+00,-25.31,30.29,17.94312,24.0084,225.6,982.0948,0,12.53
BOYM,2026-06-09 20:00:00+00,-25.07,28.09,15.7464,23.69736,216.8,982.0089,0,12.53
BOYM,2026-06-09 19:45:00+00,-24.78,26.82,16.524,23.28912,215.9,981.9449,0,12.53
BOYM,2026-06-09 19:30:00+00,-25.07,26.62,15.82416,22.39488,214.6,982.1723,0,12.53
BOYM,2026-06-09 19:15:00+00,-24.9,26.84,16.46568,23.21136,212.7,982.1446,0,12.53
BOYM,2026-06-09 19:00:00+00,-25.22,27.68,16.46568,20.04264,209.4,982.2131,0,12.53
BOYM,2026-06-09 18:45:00+00,-25.26,27.56,15.242904,21.1896,213.2,982.3567,0,12.53
BOYM,2026-06-09 18:30:00+00,-25.24,27.38,14.20092,20.52864,211.5,982.3713,0,12.53
BOYM,2026-06-09 18:15:00+00,-25.59,29.07,15.225408,22.21992,211,982.2642,0,12.53
BOYM,2026-06-09 18:00:00+00,-25.71,29.15,15.6492,20.9952,212.7,982.2893,0.001,12.53
BOYM,2026-06-09 17:45:00+00,-25.77,28.93,15.305112,21.11184,210.8,982.3053,0.001,12.53
BOYM,2026-06-09 17:30:00+00,-26.27,31.13,14.401152,20.9952,216.1,982.4451,0.001,12.53
BOYM,2026-06-09 17:15:00+00,-26.48,29.84,14.169816,20.87856,224.4,982.4518,0,12.53
BOYM,2026-06-09 17:00:00+00,-26.3,29.46,15.083496,20.15928,215.7,982.4745,0,12.53
BOYM,2026-06-09 16:45:00+00,-26.41,28.44,15.287616,20.04264,212,982.5687,0.001,12.53
BOYM,2026-06-09 16:30:00+00,-26.38,29.2,18.15696,24.41664,213.6,982.6768,0.001,12.53
BOYM,2026-06-09 16:15:00+00,-26.55,29.16,17.06832,22.82256,216.4,982.8102,0,12.53
BOYM,2026-06-09 16:00:00+00,-26.73,29.7,16.56288,23.814,217.2,982.9079,0,12.53
BOYM,2026-06-09 15:45:00+00,-26.81,30.3,17.86536,22.62816,218,983.1482,0.001,12.53
BOYM,2026-06-09 15:30:00+00,-27.09,30.39,17.1072,22.14216,222,983.2499,0,12.53
BOYM,2026-06-09 15:15:00+00,-27.1,30.9,16.75728,22.47264,220.4,983.2282,0,12.53
BOYM,2026-06-09 15:00:00+00,-27.38,32,15.495624,23.21136,220.3,983.4032,0,12.53
BOYM,2026-06-09 14:45:00+00,-27.93,34.29,15.378984,20.19816,218.8,983.6893,0.001,12.53
BOYM,2026-06-09 14:30:00+00,-27.79,34.31,16.54344,24.04728,227.2,983.5982,0,12.53
BOYM,2026-06-09 14:15:00+00,-27.79,34.28,18.97344,24.84432,230.8,983.4287,0.001,12.53
BOYM,2026-06-09 14:00:00+00,-27.87,34.39,16.93224,24.45552,230.2,983.3684,0,12.53
BOYM,2026-06-09 13:45:00+00,-28.08,35.52,17.3016,22.78368,229.4,983.4373,0,12.53
BOYM,2026-06-09 13:30:00+00,-28.15,37.21,18.5652,26.8272,230.2,983.4227,0.001,12.53
BOYM,2026-06-09 13:15:00+00,-28.43,38.04,18.954,25.64136,226.4,983.251,0.001,12.53
BOYM,2026-06-09 13:00:00+00,-28.01,36.8,19.12896,25.33032,242.4,983.2037,0,12.53
BOYM,2026-06-09 12:45:00+00,-28.07,37.18,18.89568,27.8964,237.6,982.9482,0.001,12.53
BOYM,2026-06-09 12:30:00+00,-28.04,37.43,19.3428,26.86608,237.9,982.7366,0,12.53
BOYM,2026-06-09 12:15:00+00,-27.98,37.6,18.79848,24.37776,237.3,982.7501,0.001,12.54
BOYM,2026-06-09 12:00:00+00,-28.14,42.47,16.48512,22.78368,240,982.5677,0,12.53
BOYM,2026-06-09 11:45:00+00,-29.09,51.27,13.254192,20.83968,229,982.6999,0.001,12.53
BOYM,2026-06-09 11:30:00+00,-32.58,64.87,4.727808,14.593608,201.9,982.7036,0,12.53
BOYM,2026-06-09 11:15:00+00,-34.62,66.47,4.74336,7.429968,67.63,982.5599,0,12.54
BOYM,2026-06-09 11:00:00+00,-33.91,66.32,2.315304,4.953312,118.4,982.4268,0,12.54
BOYM,2026-06-09 10:45:00+00,-33.92,66.63,3.339792,5.104944,175.7,982.3178,0,12.54
BOYM,2026-06-09 10:30:00+00,-33.64,66.92,1.862352,4.953312,217.9,982.3489,0,12.54
BOYM,2026-06-09 10:15:00+00,-33.99,67.25,4.164048,6.286896,173.5,982.3339,0,12.54
BOYM,2026-06-09 10:00:00+00,-33.61,66.53,2.229768,4.533408,234.1,982.4163,0,12.54
BOYM,2026-06-09 09:45:00+00,-33.81,67.23,4.463424,6.286896,105.4,982.4539,0,12.55
BOYM,2026-06-09 09:30:00+00,-33.82,65.65,2.443608,4.877496,87.3,982.5947,0.001,12.54
BOYM,2026-06-09 09:15:00+00,-33.37,67.75,3.621672,5.029128,156.8,982.7358,0,12.54
BOYM,2026-06-09 09:00:00+00,-33.95,66.85,1.702944,3.81024,127.4,982.7564,0,12.55
BOYM,2026-06-09 08:45:00+00,-33.25,67.31,2.387232,4.30596,126.8,982.7751,0,12.55
BOYM,2026-06-09 08:30:00+00,-33.57,67.12,1.755432,4.420656,108.5,982.9011,0.001,12.55
BOYM,2026-06-09 08:15:00+00,-33.19,67.19,0.824256,2.325024,135.5,982.8559,0,12.55
BOYM,2026-06-09 08:00:00+00,-33.34,66.89,0.57348,2.247264,139.6,982.7942,0,12.56
BOYM,2026-06-09 07:45:00+00,-33,67.08,1.786536,3.3534,180.6,982.6649,0.001,12.55
BOYM,2026-06-09 07:30:00+00,-33.1,66.85,2.599128,3.734424,217.1,982.5135,0,12.56
BOYM,2026-06-09 07:15:00+00,-33.01,67.48,3.66444,5.485968,206.8,982.4277,0,12.56
BOYM,2026-06-09 07:00:00+00,-33.54,67.44,2.531088,4.80168,194.9,982.3883,0,12.56
BOYM,2026-06-09 06:45:00+00,-33.22,67.48,2.029536,5.944752,67.48,982.2813,0,12.56
BOYM,2026-06-09 06:30:00+00,-33.29,66.75,1.368576,3.31452,97.9,982.2113,0,12.56
BOYM,2026-06-09 06:15:00+00,-32.35,67.26,1.452168,4.26708,101.3,982.0559,0,12.56
BOYM,2026-06-09 06:00:00+00,-32.76,66.95,3.077352,4.992192,77.58,981.9454,0,12.56
