symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
FRLM,2026-04-15 07:30:00+00,-32.95,69.66,0.701,1.156,108.1,996.852,0.0,12.75
FRLM,2026-04-15 07:15:00+00,-33.05,69.62,0.144,0.98,161.1,996.7886,0.001,12.75
FRLM,2026-04-15 07:00:00+00,-33.03,68.92,0.585,1.176,273.1,996.8637,0.0,12.76
FRLM,2026-04-15 06:45:00+00,-33.18,68.53,0.04,0.412,351.8,997.0002,0.002,12.75
FRLM,2026-04-15 06:30:00+00,-33.13,67.71,0.08,0.823,160.0,997.1353,0.004,12.76
FRLM,2026-04-15 06:15:00+00,-33.17,68.68,1.022,1.548,135.3,997.2048,0.012,12.76
FRLM,2026-04-15 06:00:00+00,-33.41,68.48,1.105,1.921,166.0,997.3207,0.047,12.76
FRLM,2026-04-15 05:45:00+00,-33.48,68.86,0.941,1.568,40.35,997.4009,0.181,12.76
FRLM,2026-04-15 05:30:00+00,-33.56,68.3,1.119,1.509,52.0,997.4651,0.484,12.77
FRLM,2026-04-15 05:15:00+00,-33.03,68.21,1.231,1.882,58.48,997.5295,0.969,12.77
FRLM,2026-04-15 05:00:00+00,-32.96,68.66,0.225,0.804,61.69,997.5499,1.668,12.77
FRLM,2026-04-15 04:45:00+00,-33.0,68.91,0.715,1.352,132.2,997.5215,2.551,12.78
FRLM,2026-04-15 04:30:00+00,-33.11,68.97,0.08,0.941,210.9,997.6155,3.556,12.78
FRLM,2026-04-15 04:15:00+00,-33.12,69.25,0.496,1.039,58.38,997.6182,4.638,12.79
FRLM,2026-04-15 04:00:00+00,-33.16,69.05,0.516,1.078,31.15,997.5891,5.723,12.8
FRLM,2026-04-15 03:45:00+00,-33.08,68.65,0.756,1.215,287.7,997.6625,6.746,12.8
FRLM,2026-04-15 03:30:00+00,-33.11,67.89,0.893,1.49,88.6,997.713,7.767,12.81
FRLM,2026-04-15 03:15:00+00,-32.76,68.7,0.688,1.764,68.26,997.7339,8.78,12.82
FRLM,2026-04-15 03:00:00+00,-33.24,68.41,0.723,1.529,55.37,997.8459,9.68,12.82
FRLM,2026-04-15 02:45:00+00,-32.61,68.75,1.197,1.686,75.54,997.8917,10.47,12.83
FRLM,2026-04-15 02:30:00+00,-32.77,69.44,0.469,1.215,293.9,998.0037,11.19,12.83
FRLM,2026-04-15 02:15:00+00,-32.86,68.73,0.581,1.196,312.5,998.1418,11.9,12.83
FRLM,2026-04-15 02:00:00+00,-32.81,67.56,0.575,1.411,30.48,998.2502,12.59,12.84
FRLM,2026-04-15 01:45:00+00,-32.44,67.53,0.494,1.529,150.9,998.2249,13.19,12.84
FRLM,2026-04-15 01:30:00+00,-32.92,68.45,0.49,1.333,136.4,998.3415,13.21,12.83
FRLM,2026-04-15 01:15:00+00,-33.05,68.68,0.893,1.882,35.78,998.3494,12.95,12.82
FRLM,2026-04-15 01:00:00+00,-33.21,68.8,0.598,1.744,125.7,998.3143,12.82,12.82
FRLM,2026-04-15 00:45:00+00,-33.05,67.95,1.891,2.822,38.4,998.316,12.66,12.81
FRLM,2026-04-15 00:30:00+00,-32.51,68.33,1.75,3.626,136.5,998.2113,12.42,12.81
FRLM,2026-04-15 00:15:00+00,-33.2,68.96,2.235,3.724,172.8,998.2878,12.06,12.8
FRLM,2026-04-15 00:00:00+00,-33.27,67.89,0.794,1.686,53.72,998.3103,11.58,12.79
FRLM,2026-04-14 23:45:00+00,-32.91,68.63,1.425,2.156,65.34,998.3137,10.99,12.78
FRLM,2026-04-14 23:30:00+00,-32.79,67.18,1.113,2.293,5.635,998.5173,10.3,12.76
FRLM,2026-04-14 23:15:00+00,-32.19,67.72,2.018,3.802,154.5,998.4821,9.49,12.73
FRLM,2026-04-14 23:00:00+00,-33.06,68.84,1.607,2.411,135.7,998.6507,8.59,12.74
FRLM,2026-04-14 22:45:00+00,-32.99,69.23,0.915,1.509,10.33,998.7062,7.615,12.76
FRLM,2026-04-14 22:30:00+00,-33.14,68.56,0.639,1.058,233.4,998.7354,6.533,12.75
FRLM,2026-04-14 22:15:00+00,-33.37,67.44,0.205,0.804,224.2,998.7588,5.385,12.75
FRLM,2026-04-14 22:00:00+00,-33.16,64.91,1.049,1.705,35.74,998.7232,4.233,12.74
FRLM,2026-04-14 21:45:00+00,-31.45,66.09,1.225,1.901,98.3,998.6592,3.089,12.74
FRLM,2026-04-14 21:30:00+00,-33.12,66.3,2.094,2.568,52.48,998.6088,2.08,12.74
FRLM,2026-04-14 21:15:00+00,-32.28,68.77,1.655,2.47,121.0,998.5413,1.279,12.74
FRLM,2026-04-14 21:00:00+00,-32.64,69.11,1.152,2.117,95.2,998.5974,0.685,12.74
FRLM,2026-04-14 20:45:00+00,-32.47,68.19,1.586,2.176,35.19,998.6216,0.306,12.74
FRLM,2026-04-14 20:30:00+00,-32.43,68.95,1.322,2.019,162.6,998.4616,0.105,12.74
FRLM,2026-04-14 20:15:00+00,-32.7,68.21,1.343,2.019,201.3,998.3533,0.026,12.74
FRLM,2026-04-14 20:00:00+00,-32.22,66.1,1.233,2.587,346.7,998.1609,0.006,12.75
FRLM,2026-04-14 19:45:00+00,-32.61,67.08,1.493,2.411,167.0,998.0506,0.002,12.74
FRLM,2026-04-14 19:30:00+00,-32.98,68.46,0.634,1.529,60.08,998.0446,0.002,12.74
FRLM,2026-04-14 19:15:00+00,-33.08,68.18,0.836,1.803,166.8,997.9927,0.002,12.75
FRLM,2026-04-14 19:00:00+00,-32.68,67.48,1.105,1.666,44.51,997.9698,0.004,12.74
FRLM,2026-04-14 18:45:00+00,-32.6,68.31,1.199,1.509,60.79,997.9214,0.002,12.74
FRLM,2026-04-14 18:30:00+00,-32.11,66.63,0.848,1.274,36.29,997.8892,0.002,12.74
FRLM,2026-04-14 18:15:00+00,-32.1,68.76,1.252,1.999,152.0,997.9391,0.001,12.74
FRLM,2026-04-14 18:00:00+00,-32.37,68.87,1.046,2.176,152.0,998.067,0.002,12.74
FRLM,2026-04-14 17:45:00+00,-32.33,66.06,1.047,1.49,20.19,998.1123,0.002,12.75
FRLM,2026-04-14 17:30:00+00,-31.94,65.15,0.186,1.392,34.17,998.1011,0.0,12.74
FRLM,2026-04-14 17:15:00+00,-32.01,62.12,0.421,1.509,72.87,998.08,0.001,12.74
FRLM,2026-04-14 17:00:00+00,-30.2,61.92,1.142,1.96,99.9,998.096,0.001,12.75
FRLM,2026-04-14 16:45:00+00,-32.02,68.57,2.106,2.862,44.53,998.1386,0.0,12.74
FRLM,2026-04-14 16:30:00+00,-32.26,68.73,0.309,1.431,36.52,998.1458,0.001,12.74
FRLM,2026-04-14 16:15:00+00,-32.22,67.87,0.122,0.823,203.3,998.0711,0.001,12.74
FRLM,2026-04-14 16:00:00+00,-32.13,67.52,0.268,1.215,115.2,997.9665,0.002,12.74
FRLM,2026-04-14 15:45:00+00,-32.18,67.16,1.254,2.391,44.32,997.9548,0.002,12.74
FRLM,2026-04-14 15:30:00+00,-31.13,66.15,1.641,2.783,58.09,998.0167,0.001,12.75
FRLM,2026-04-14 15:15:00+00,-31.72,68.19,1.929,2.666,192.4,998.0659,0.001,12.74
FRLM,2026-04-14 15:00:00+00,-32.1,67.02,0.872,1.548,195.6,998.1362,0.001,12.74
FRLM,2026-04-14 14:45:00+00,-31.97,65.13,0.97,1.882,35.14,998.2501,0.003,12.74
FRLM,2026-04-14 14:30:00+00,-30.84,60.97,1.706,2.391,58.15,998.3578,0.001,12.74
FRLM,2026-04-14 14:15:00+00,-30.56,65.41,1.371,1.725,152.7,998.4896,0.001,12.74
FRLM,2026-04-14 14:00:00+00,-31.42,66.18,0.863,1.548,53.82,998.6565,0.002,12.74
FRLM,2026-04-14 13:45:00+00,-30.6,63.7,0.879,1.764,107.0,998.8495,0.001,12.74
