symbol,timestamp_utc,air_temp_3m,rel_hum_3m,wind_spd_avg,wind_spd_max,wind_direction,barom_pres,sw_rad_in,battv_min
HO2M,2026-04-08 10:15:00+00,-22.34,67.64,2.842128,6.1721997,240.9,982.9719,0.002,12.77
HO2M,2026-04-08 10:00:00+00,-22.27,66.67,2.630232,5.3732157,8.92,982.8049,0.001,12.77
HO2M,2026-04-08 09:45:00+00,-22.44,66.96,2.4086158,5.866992,15.03,982.4844,0.001,12.78
HO2M,2026-04-08 09:30:00+00,-21.95,65.41,0.919512,2.325024,60.25,982.3802,0.001,12.77
HO2M,2026-04-08 09:15:00+00,-21.94,65.46,1.3549681,3.3534,334.7,982.179,0.001,12.77
HO2M,2026-04-08 09:00:00+00,-22.64,65.6,2.583576,6.8584323,16.39,981.929,0.001,12.78
HO2M,2026-04-08 08:45:00+00,-22.33,63.97,1.562976,3.924936,58.7,981.7645,0.002,12.78
HO2M,2026-04-08 08:30:00+00,-22.2,62.8,1.780704,5.1049438,13.63,981.6418,0.001,12.78
HO2M,2026-04-08 08:15:00+00,-21.58,61.87,3.203712,6.21108,20.95,981.4396,0.001,12.78
HO2M,2026-04-08 08:00:00+00,-22.91,67.22,2.608848,6.2868958,22.65,981.3904,0.002,12.78
HO2M,2026-04-08 07:45:00+00,-23.05,64.55,1.609632,2.5524719,244.2,981.3887,0.003,12.78
HO2M,2026-04-08 07:30:00+00,-21.03,59.18,3.164832,6.477408,43.06,981.1442,0.003,12.78
HO2M,2026-04-08 07:15:00+00,-21.78,66.14,2.79936,6.21108,32.07,981.1277,0.009,12.78
HO2M,2026-04-08 07:00:00+00,-22.08,67.72,2.882952,6.7437363,22.04,981.1423,0.023,12.78
HO2M,2026-04-08 06:45:00+00,-21.96,67.49,2.0703602,5.639544,101.2,981.0385,0.091,12.78
HO2M,2026-04-08 06:30:00+00,-22.1,67.36,2.325024,5.334336,46.61,981.0001,0.316,12.78
HO2M,2026-04-08 06:15:00+00,-22.95,67.43,2.673,4.8774962,13.04,980.7847,0.814,12.79
HO2M,2026-04-08 06:00:00+00,-22.83,64.74,2.111184,3.695544,153,980.7657,1.54,12.79
HO2M,2026-04-08 05:45:00+00,-22.06,63.11,1.1800079,3.3534,32.61,980.6558,2.934,12.79
HO2M,2026-04-08 05:30:00+00,-22.31,63.91,3.5380802,6.248016,57.3,980.4821,5.284,12.79
HO2M,2026-04-08 05:15:00+00,-21.9,60.9,2.416392,5.866992,312.7,980.3982,8.14,12.8
HO2M,2026-04-08 05:00:00+00,-21.49,57.75,5.8145037,8.040384,16.09,980.5444,10.36,12.8
HO2M,2026-04-08 04:45:00+00,-21.5,57.66,4.131,6.592104,26.79,980.4958,11.62,12.8
HO2M,2026-04-08 04:30:00+00,-22.14,59.05,3.753864,7.65936,24.96,980.5035,15.24,12.81
HO2M,2026-04-08 04:15:00+00,-22.67,60.75,3.186216,7.9256883,29.27,980.5269,18.83,12.81
HO2M,2026-04-08 04:00:00+00,-23.22,61.82,6.020568,9.48672,133.4,980.3612,18.53,12.81
HO2M,2026-04-08 03:45:00+00,-22.49,58.8,2.105352,5.449032,124.7,980.3915,19.74,12.82
HO2M,2026-04-08 03:30:00+00,-22.16,58.44,1.780704,4.230144,64.01,980.2798,22.53,12.82
HO2M,2026-04-08 03:15:00+00,-22.68,60.33,0.92534405,2.5524719,343,980.2136,23.6,12.83
HO2M,2026-04-08 03:00:00+00,-22.49,58.78,1.9712161,4.611168,147.1,980.1285,27.24,12.83
